cohort,persona,policy,loop,median_rank,top1,top3,top10,surfaced_rate,median_realized_bits,median_cumulative_bits
heldout,picky,greedy,4,3162.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,5,1547.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,6,2212.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,7,4373.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,8,3677.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,9,4014.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,10,1950.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,11,2404.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,12,1762.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,13,2012.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,14,1817.0,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,picky,greedy,15,1481.5,0.0,0.0,0.08333333333333333,0.08333333333333333,,
heldout,picky,passive,1,1390.5,0.0,0.0,0.0,0.0,0.003700167295,0.003700167295
heldout,picky,passive,2,1321.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.001587518214,0.00528768551
heldout,picky,passive,3,1220.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0006595479506,0.00594723346
heldout,picky,passive,4,1139.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,7.343942674e-06,0.005954577403
heldout,picky,passive,5,1554.5,0.0,0.0,0.0,0.08333333333333333,0.002354470268,0.008309047671
heldout,picky,passive,6,2443.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.0001592298357,0.008149817835
heldout,picky,passive,7,2959.5,0.0,0.0,0.0,0.08333333333333333,7.383017295e-05,0.008223648008
heldout,picky,passive,8,1788.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.000510383192,0.0087340312
heldout,picky,passive,9,2143.0,0.0,0.0,0.0,0.08333333333333333,2.742308502e-05,0.008761454285
heldout,picky,passive,10,1662.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.00026632656,0.009027780845
heldout,picky,passive,11,2208.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.0001149330254,0.00891284782
heldout,picky,passive,12,2038.5,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.000660329275,0.009573177095
heldout,picky,passive,13,1459.5,0.0,0.0,0.08333333333333333,0.08333333333333333,9.839070545e-05,0.0096715678
heldout,picky,passive,14,1908.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0003652587947,0.01003682659
